Country Name,Country Code,Indicator Code,year,value
Cayman Islands,CYM,NY.GDP.PCAP.PP.CD,2020,66118.65408590277
Cayman Islands,CYM,TX.VAL.TECH.MF.ZS,2020,69.5994743298033
Cayman Islands,CYM,IT.CEL.SETS.P2,2020,145.594315997903
Cayman Islands,CYM,GOV_WGI_PV_EST,2020,1.2749256
Cayman Islands,CYM,GOV_WGI_RL_EST,2020,0.7841015
Cayman Islands,CYM,SE.TER.ENRR,2020,
Cayman Islands,CYM,IP.JRN.ARTC.SC,2020,
Central African Republic,CAF,GOV_WGI_CC_EST,2020,-1.25240479999999
Central African Republic,CAF,IT.NET.BBND.P2,2020,
Central African Republic,CAF,NY.GDP.PCAP.PP.CD,2020,1066.2900542315083
Central African Republic,CAF,TX.VAL.TECH.MF.ZS,2020,0.6708383555121203
Central African Republic,CAF,IT.CEL.SETS.P2,2020,36.426009643045
Central African Republic,CAF,GOV_WGI_PV_EST,2020,-2.3306101
Central African Republic,CAF,GOV_WGI_RL_EST,2020,-1.5623816
Central African Republic,CAF,SE.TER.ENRR,2020,
Central African Republic,CAF,IP.JRN.ARTC.SC,2020,19.03
Chad,TCD,GOV_WGI_CC_EST,2020,-1.48219979999999
Chad,TCD,IT.NET.BBND.P2,2020,0.0
Chad,TCD,NY.GDP.PCAP.PP.CD,2020,2185.990341735372
Chad,TCD,TX.VAL.TECH.MF.ZS,2020,
Chad,TCD,IT.CEL.SETS.P2,2020,50.434327397335
Chad,TCD,GOV_WGI_PV_EST,2020,-1.4524146
Chad,TCD,GOV_WGI_RL_EST,2020,-1.33343259999999
Chad,TCD,SE.TER.ENRR,2020,4.39665967267065
Chad,TCD,IP.JRN.ARTC.SC,2020,18.49
Chile,CHL,GOV_WGI_CC_EST,2020,1.2156268
Chile,CHL,IT.NET.BBND.P2,2020,19.4305872645094
Chile,CHL,NY.GDP.PCAP.PP.CD,2020,25350.86350829717
Chile,CHL,TX.VAL.TECH.MF.ZS,2020,15.9750583433893
Chile,CHL,IT.CEL.SETS.P2,2020,129.413740104604
Chile,CHL,GOV_WGI_PV_EST,2020,0.1362588
Chile,CHL,GOV_WGI_RL_EST,2020,0.7392409
Chile,CHL,SE.TER.ENRR,2020,89.1124877929688
Chile,CHL,IP.JRN.ARTC.SC,2020,8380.99
China,CHN,GOV_WGI_CC_EST,2020,0.0531167
China,CHN,IT.NET.BBND.P2,2020,33.9069794578039
China,CHN,NY.GDP.PCAP.PP.CD,2020,18267.47834558274
China,CHN,TX.VAL.TECH.MF.ZS,2020,31.27661542412927
China,CHN,IT.CEL.SETS.P2,2020,120.496715387079
China,CHN,GOV_WGI_PV_EST,2020,-0.302661299999999
China,CHN,GOV_WGI_RL_EST,2020,-0.5093696
China,CHN,SE.TER.ENRR,2020,61.6124675996947
China,CHN,IP.JRN.ARTC.SC,2020,671731.01
Colombia,COL,GOV_WGI_CC_EST,2020,-0.256463899999999
Colombia,COL,IT.NET.BBND.P2,2020,15.3363074463544
Colombia,COL,NY.GDP.PCAP.PP.CD,2020,15519.210169465632
Colombia,COL,TX.VAL.TECH.MF.ZS,2020,9.913551572203346
Colombia,COL,IT.CEL.SETS.P2,2020,133.661019178018
Colombia,COL,GOV_WGI_PV_EST,2020,-0.6819314
Colombia,COL,GOV_WGI_RL_EST,2020,-0.482495599999999
Colombia,COL,SE.TER.ENRR,2020,55.7331085205078
Colombia,COL,IP.JRN.ARTC.SC,2020,8888.34
Comoros,COM,GOV_WGI_CC_EST,2020,-1.32241109999999
Comoros,COM,IT.NET.BBND.P2,2020,0.148099575772006
Comoros,COM,NY.GDP.PCAP.PP.CD,2020,3244.886749684695
Comoros,COM,TX.VAL.TECH.MF.ZS,2020,0.5749290858199807
Comoros,COM,IT.CEL.SETS.P2,2020,97.4339379901591
Comoros,COM,GOV_WGI_PV_EST,2020,-0.4562829
Comoros,COM,GOV_WGI_RL_EST,2020,-1.0663536
Comoros,COM,SE.TER.ENRR,2020,
Comoros,COM,IP.JRN.ARTC.SC,2020,3.51
"Congo, Dem. Rep.",COD,GOV_WGI_CC_EST,2020,-1.4573026
"Congo, Dem. Rep.",COD,IT.NET.BBND.P2,2020,0.0322950314052512
"Congo, Dem. Rep.",COD,NY.GDP.PCAP.PP.CD,2020,1088.7890035636976
"Congo, Dem. Rep.",COD,TX.VAL.TECH.MF.ZS,2020,0.5068206170053211
"Congo, Dem. Rep.",COD,IT.CEL.SETS.P2,2020,42.5027574227056
"Congo, Dem. Rep.",COD,GOV_WGI_PV_EST,2020,-1.80629289999999
"Congo, Dem. Rep.",COD,GOV_WGI_RL_EST,2020,-1.6143214
"Congo, Dem. Rep.",COD,SE.TER.ENRR,2020,6.37987995147705
"Congo, Dem. Rep.",COD,IP.JRN.ARTC.SC,2020,177.56
"Congo, Rep.",COG,GOV_WGI_CC_EST,2020,-1.3702576
"Congo, Rep.",COG,IT.NET.BBND.P2,2020,
"Congo, Rep.",COG,NY.GDP.PCAP.PP.CD,2020,4770.964497583653
"Congo, Rep.",COG,TX.VAL.TECH.MF.ZS,2020,4.549873277803872
"Congo, Rep.",COG,IT.CEL.SETS.P2,2020,97.6561289989503
"Congo, Rep.",COG,GOV_WGI_PV_EST,2020,-0.5758284
"Congo, Rep.",COG,GOV_WGI_RL_EST,2020,-1.2489371
