Country Code,Country Name,year,GOV_WGI_CC_EST,GOV_WGI_PV_EST,GOV_WGI_RL_EST,IP.JRN.ARTC.SC,IT.CEL.SETS.P2,IT.NET.BBND.P2,NY.GDP.PCAP.PP.CD,SE.TER.ENRR,TX.VAL.TECH.MF.ZS
BHS,"Bahamas, The",2023,1.2199692,1.0539708,0.2764352,14.98,100.047566593231,23.816342880032,39090.1214737976,,0.0138247645369375
BHS,"Bahamas, The",2024,1.2320893,1.0493095,0.2509955,,96.6798992232414,25.2679530406222,41197.93425484768,,0.0
BHS,"Bahamas, The",2025,,,,,,,,,
BIH,Bosnia and Herzegovina,2020,-0.624659499999999,-0.2690285,-0.3025925,1007.25,106.374742411306,23.3507882918721,16369.93531978359,43.8039207458496,4.614452473673617
BIH,Bosnia and Herzegovina,2021,-0.6690056,-0.310701599999999,-0.3074514,1091.63,114.911613799718,24.5890868366952,18286.73733242331,45.0589485168457,5.316222002422011
BIH,Bosnia and Herzegovina,2022,-0.680061199999999,-0.248056399999999,-0.289740999999999,1029.2,118.944352880459,27.3190356221695,21651.295237486163,45.6063499450684,5.224749177601036
BIH,Bosnia and Herzegovina,2023,-0.5984163,-0.1999229,-0.3548804,1082.64,117.733690876159,28.440133083292,23376.22274771408,45.5027618408203,4.96705366555243
BIH,Bosnia and Herzegovina,2024,-0.5128682,-0.5010614,-0.319134,,121.232373011893,29.3909178564419,25043.08863961269,,6.1631735705966415
BIH,Bosnia and Herzegovina,2025,,,,,,,,,
BLR,Belarus,2020,-0.1014181,-0.818298499999999,-0.8602112,1550.1,125.164732031333,34.8152229336418,24872.306674452844,79.900160036935,5.098125922496125
BLR,Belarus,2021,-0.2062736,-0.616372399999999,-1.0672559,1600.37,127.117317282369,35.0097634241001,27611.180113515707,78.6027133367864,6.015768463598526
BLR,Belarus,2022,-0.415013199999999,-0.6168791,-1.1591441,1563.85,128.314999383533,34.0671782490739,28429.49488218266,77.0977334087936,
BLR,Belarus,2023,-0.534353699999999,-0.392606499999999,-1.2155307,1429.41,128.979176539764,35.0931910729644,30834.17736681112,72.8250212584046,
BLR,Belarus,2024,-0.5781294,-0.3773003,-1.2305997,,131.123016605614,36.2627055164488,33010.330760535726,70.1107509145358,
BLR,Belarus,2025,,,,,,,,,
BLZ,Belize,2020,-0.0753264999999999,0.6026689,-0.5207908,16.66,67.551661668526,9.21159022752628,9638.89513695889,25.9421694120047,0.938240933761362
BLZ,Belize,2021,-0.0899104999999999,0.3568757,-0.527655099999999,11.93,66.7769498110516,9.10594770150703,11716.326781865551,23.6813942822198,0.1916399093921313
BLZ,Belize,2022,-0.0459141999999999,0.7353533,-0.4371369,17.84,67.1750266305468,9.75385677359442,13461.209845161278,23.9767727412258,0.0001824316203361
BLZ,Belize,2023,-0.115986499999999,0.78967,-0.4007135,18.02,,,13729.89205872096,22.3734089825019,0.0
BLZ,Belize,2024,-0.1604129,0.7847219,-0.39715,,,,14346.518804973712,24.8098643151325,0.0001910876991115
BLZ,Belize,2025,,,,,,,,,
BMU,Bermuda,2020,1.1797991,0.9766825,0.6485582,,105.619583113293,35.7242707589078,85146.40062756959,,5.482394182151822
BMU,Bermuda,2021,1.1772281,0.974511,0.6399761,,105.185001856206,35.5772800395991,92319.67148612188,,8.074360496583553
BMU,Bermuda,2022,1.1763452,0.9782486,0.8013243,,105.274212729154,35.5804722852863,105142.40996718328,,12.540290834702713
BMU,Bermuda,2023,1.1733125,0.9788563,0.8002751,,,,114372.04992737246,17.3357105255127,14.937281821284772
BMU,Bermuda,2024,1.1762344,0.9711697,0.8001056,,96.6767745528807,51.3026796212637,124252.83570258624,,14.300743282545277
BMU,Bermuda,2025,,,,,,,,,
BOL,Bolivia,2020,-0.8045643,-0.3855901,-1.2021414,169.82,99.898817726261,7.88671647526861,9580.98962081658,,4.325217851055254
BOL,Bolivia,2021,-0.9489015,-0.2859636,-1.1101906,161.62,100.809064985893,9.44574009663778,11202.440983670713,,4.548883143171252
BOL,Bolivia,2022,-0.9824356,-0.170608899999999,-1.1775683,181.31,101.57150434614,10.9975247479663,12306.729312869538,,5.517697487182869
BOL,Bolivia,2023,-0.9556498,-0.289823899999999,-1.2028195,196.72,,11.1529423948186,12892.12495787769,,8.165170226380756
BOL,Bolivia,2024,-0.997582699999999,-0.5460357,-1.267722,,98.0287940811943,12.0711429622144,12877.635118437232,,8.793950833589111
BOL,Bolivia,2025,,,,,,,,,
BRA,Brazil,2020,-0.337231599999999,-0.427421599999999,-0.392171899999999,66901.34,98.6456198619193,17.418059685583,16101.618306295422,55.529109954834,11.350094267880449
BRA,Brazil,2021,-0.404589,-0.3922756,-0.4091435,69590.64,104.824727184587,19.8363162401481,18075.70600487568,57.6311988830566,9.00155420026002
BRA,Brazil,2022,-0.4562788,-0.415796899999999,-0.4398335,62659.84,101.245468903076,20.9534469027015,19876.85335313965,61.0000915527344,9.11134627987528
BRA,Brazil,2023,-0.451506099999999,-0.521574099999999,-0.483012599999999,58292.04,101.020256020808,22.4192301618889,21175.61869882142,,9.849149349554
BRA,Brazil,2024,-0.4088904,-0.5205702,-0.446218,,101.926846460424,24.079199344422,22338.476564063538,69.7317733764648,11.110364420665157
BRA,Brazil,2025,,,,,,,,,
BRB,Barbados,2020,1.1695313,1.0680614,0.7048546,58.94,104.722078254017,45.43873225937,16555.362214523506,52.971630831,20.303822133168723
BRB,Barbados,2021,1.1946829,1.0845669,0.7010659,57.51,112.222706603295,36.3512637029634,17682.73145374831,54.672,17.15596635281923
BRB,Barbados,2022,1.1926841,1.2066625,0.7169373,70.21,114.580721030894,37.4843261853654,22193.248712578938,55.0600902713579,17.011739306168195
BRB,Barbados,2023,1.2089543,1.2767666,0.7343145,56.79,,,23660.404751292856,54.2600399378744,18.43361348601325
BRB,Barbados,2024,1.2257724,1.2722219,0.7277751,,,,24822.534330990835,53.5815662047086,19.92635575838179
BRB,Barbados,2025,,,,,,,,50.801079116886,
BRN,Brunei Darussalam,2020,1.183555,1.1645233,0.5634206,257.49,119.933885258067,15.886760064729,69787.96327957169,27.4692556634304,1.3389570491639085
BRN,Brunei Darussalam,2021,1.1827999,1.1632013,0.5616354,302.38,133.597065445264,17.580984722871,78248.797127611,27.4258937503291,1.3609175851410775
BRN,Brunei Darussalam,2022,1.1825406,1.175984,0.6385844,375.4,116.108439291126,19.8049937413532,81801.7459224403,31.1925368707703,1.0442596038317469
BRN,Brunei Darussalam,2023,1.1816499,1.3348873,0.638307,501.5,118.673752421293,20.2120497048692,85032.60087419949,36.4182725443167,1.0192505676847716
BRN,Brunei Darussalam,2024,1.1861774,1.2027245,0.5876078,,118.130579766209,21.1771240120937,89879.36149807577,,1.0643345945348786
BRN,Brunei Darussalam,2025,,,,,,,,,
BTN,Bhutan,2020,1.3421241,1.1154419,0.6470186,79.45,96.7702849068709,0.414152616992595,12475.04800342798,16.8650740250552,0.0818080898528299
BTN,Bhutan,2021,1.3198694,0.9391838,0.6782878,106.33,100.330908049861,0.364566273170656,13458.812666742975,14.7382447141292,
BTN,Bhutan,2022,1.357056,1.3224382,0.6837835,116.64,95.129809428439,0.631823734751842,15063.810576307216,14.5780698560857,0.0122179939865198
BTN,Bhutan,2023,1.3563935,1.3322654,0.7200012,102.52,95.6260610260877,1.31881966212479,16215.152007315288,15.0074996948242,0.0107261524845821
BTN,Bhutan,2024,1.4722389,1.3541153,0.7902665,,99.7576826476519,2.92069476099272,,13.011259392916,
BTN,Bhutan,2025,,,,,,,,,
BWA,Botswana,2020,0.7218389,1.0835182,0.33481,319.29,161.858815314634,3.58604400704343,15292.262467325198,22.4017870513653,0.4057128034922768
BWA,Botswana,2021,0.7018975,1.0572186,0.3719933,377.36,173.25235140068,5.5483769953124,17960.625444743728,21.2032904951187,0.3307859414532644
BWA,Botswana,2022,0.6506622,1.0798421,0.3434669,391.01,178.205018910673,4.53192190474005,19976.83437944735,20.7095613715302,0.5023812940932434
BWA,Botswana,2023,0.6066871,1.0127245,0.3322692,383.84,179.027305378019,6.16495796381324,21012.10319924998,20.5658232475186,0.5394690309547364
BWA,Botswana,2024,0.6311414,1.0322942,0.3120842,,163.999922257361,7.4409622000215,20538.13201788891,21.4087908549348,
BWA,Botswana,2025,,,,,,,,,
CAF,Central African Republic,2020,-1.25240479999999,-2.3306101,-1.5623816,19.03,36.426009643045,,1066.2900542315083,,0.6708383555121203
CAF,Central African Republic,2021,-1.316273,-2.1689304,-1.5476834,17.31,35.8169832358522,0.0097611549069853,1128.5523799645855,,7.669124470247622
CAF,Central African Republic,2022,-1.3173981,-1.9022515,-1.66733549999999,22.39,38.8217901039988,0.0160846160651184,1217.8497714115497,,37.29740467739519
CAF,Central African Republic,2023,-1.3816342,-1.87417179999999,-1.7248503,25.75,,,1257.0943571711448,,1.8785669682649464
CAF,Central African Republic,2024,-1.30997079999999,-1.83294689999999,-1.7147975,,,,1263.1023421369896,,8.299780421914141
CAF,Central African Republic,2025,,,,,,,,,
CAN,Canada,2020,1.6422133,0.9455077,1.5585901,64548.83,84.7747749116615,40.7949805592606,48590.6832121939,75.2389068603516,16.758708977524385
